year,month,value,indicator
2015,Jan,26.15433651,Private sector credit growth (%)
2015,Feb,25.35195038,Private sector credit growth (%)
2015,Mar,23.89613962,Private sector credit growth (%)
2015,Apr,23.89024028,Private sector credit growth (%)
2015,May,24.51604613,Private sector credit growth (%)
2015,Jun,23.00519659,Private sector credit growth (%)
2015,Jul,23.87590993,Private sector credit growth (%)
2015,Aug,23.94657803,Private sector credit growth (%)
2015,Sep,23.5019789,Private sector credit growth (%)
2015,Oct,23.76879853,Private sector credit growth (%)
2015,Nov,23.10406859,Private sector credit growth (%)
2015,Dec,21.7579651,Private sector credit growth (%)
2016,Jan,16.94497802,Private sector credit growth (%)
2016,Feb,16.13248406,Private sector credit growth (%)
2016,Mar,16.18949099,Private sector credit growth (%)
2016,Apr,14.57753311,Private sector credit growth (%)
2016,May,12.50103611,Private sector credit growth (%)
2016,Jun,10.29802691,Private sector credit growth (%)
2016,Jul,9.40286929,Private sector credit growth (%)
2016,Aug,9.039725075,Private sector credit growth (%)
2016,Sep,8.31963469,Private sector credit growth (%)
2016,Oct,7.399503987,Private sector credit growth (%)
2016,Nov,6.847959844,Private sector credit growth (%)
2016,Dec,7.118825841,Private sector credit growth (%)
2017,Jan,6.609756206,Private sector credit growth (%)
2017,Feb,6.430360601,Private sector credit growth (%)
2017,Mar,5.523270744,Private sector credit growth (%)
2017,Apr,4.99126044,Private sector credit growth (%)
2017,May,4.677555086,Private sector credit growth (%)
2017,Jun,5.60788098,Private sector credit growth (%)
2017,Jul,4.548664686,Private sector credit growth (%)
2017,Aug,3.769639399,Private sector credit growth (%)
2017,Sep,4.018269778,Private sector credit growth (%)
2017,Oct,3.496924038,Private sector credit growth (%)
2017,Nov,4.36974091,Private sector credit growth (%)
2017,Dec,4.126073294,Private sector credit growth (%)
2018,Jan,3.45966357,Private sector credit growth (%)
2018,Feb,3.595153707,Private sector credit growth (%)
2018,Mar,4.128012072,Private sector credit growth (%)
2018,Apr,4.445532037,Private sector credit growth (%)
2018,May,5.011571745,Private sector credit growth (%)
2018,Jun,5.330067025,Private sector credit growth (%)
2018,Jul,5.269942451,Private sector credit growth (%)
2018,Aug,5.544978959,Private sector credit growth (%)
2018,Sep,5.028306708,Private sector credit growth (%)
2018,Oct,5.788444233,Private sector credit growth (%)
2018,Nov,4.61151942,Private sector credit growth (%)
2018,Dec,3.728987107,Private sector credit growth (%)
2019,Jan,4.699296894,Private sector credit growth (%)
2019,Feb,4.838806928,Private sector credit growth (%)
2019,Mar,5.504512223,Private sector credit growth (%)
2019,Apr,5.985282694,Private sector credit growth (%)
2019,May,5.823486427,Private sector credit growth (%)
2019,Jun,6.483519815,Private sector credit growth (%)
2019,Jul,7.116177487,Private sector credit growth (%)
2019,Aug,6.990244344,Private sector credit growth (%)
2019,Sep,7.681573463,Private sector credit growth (%)
2019,Oct,7.27708752,Private sector credit growth (%)
2019,Nov,7.785594353,Private sector credit growth (%)
2019,Dec,8.084834567,Private sector credit growth (%)
2020,Jan,8.164749155,Private sector credit growth (%)
2020,Feb,8.454812665,Private sector credit growth (%)
2020,Mar,9.617773461,Private sector credit growth (%)
2020,Apr,9.494294606,Private sector credit growth (%)
2020,May,8.618810137,Private sector credit growth (%)
2020,Jun,7.915644525,Private sector credit growth (%)
2020,Jul,8.404338605,Private sector credit growth (%)
2020,Aug,8.75259331,Private sector credit growth (%)
2020,Sep,8.301794256,Private sector credit growth (%)
