year,month,value,indicator
2007,March,0.0643905,Mobile money transaction value (KSh billions)
2007,April,0.220896,Mobile money transaction value (KSh billions)
2007,May,0.483709,Mobile money transaction value (KSh billions)
2007,June,0.720102,Mobile money transaction value (KSh billions)
2007,July,1.06537,Mobile money transaction value (KSh billions)
2007,August,1.57991,Mobile money transaction value (KSh billions)
2007,September,2.06969,Mobile money transaction value (KSh billions)
2007,October,2.82955,Mobile money transaction value (KSh billions)
2007,November,3.51495,Mobile money transaction value (KSh billions)
2007,December,3.77027,Mobile money transaction value (KSh billions)
2008,January,4.05904,Mobile money transaction value (KSh billions)
2008,February,5.21979,Mobile money transaction value (KSh billions)
2008,March,6.74745,Mobile money transaction value (KSh billions)
2008,April,8.38964,Mobile money transaction value (KSh billions)
2008,May,10.9042,Mobile money transaction value (KSh billions)
2008,June,10.9172,Mobile money transaction value (KSh billions)
2008,July,14.0171,Mobile money transaction value (KSh billions)
2008,August,16.7563,Mobile money transaction value (KSh billions)
2008,September,19.2699,Mobile money transaction value (KSh billions)
2008,October,21.6007,Mobile money transaction value (KSh billions)
2008,November,21.7,Mobile money transaction value (KSh billions)
2008,December,26.99,Mobile money transaction value (KSh billions)
2009,January,27.0749,Mobile money transaction value (KSh billions)
2009,February,28.6863,Mobile money transaction value (KSh billions)
2009,March,33.8202,Mobile money transaction value (KSh billions)
2009,April,34.0201,Mobile money transaction value (KSh billions)
2009,May,36.8062,Mobile money transaction value (KSh billions)
2009,June,38.1756,Mobile money transaction value (KSh billions)
2009,July,40.3374,Mobile money transaction value (KSh billions)
2009,August,40.6787,Mobile money transaction value (KSh billions)
2009,September,45.3683,Mobile money transaction value (KSh billions)
2009,October,48.6365,Mobile money transaction value (KSh billions)
2009,November,47.4656,Mobile money transaction value (KSh billions)
2009,December,52.3417,Mobile money transaction value (KSh billions)
2010,January,48.4625,Mobile money transaction value (KSh billions)
2010,February,49.9055,Mobile money transaction value (KSh billions)
2010,March,56.1167,Mobile money transaction value (KSh billions)
2010,April,51.8136,Mobile money transaction value (KSh billions)
2010,May,58.0795,Mobile money transaction value (KSh billions)
2010,June,58.0993,Mobile money transaction value (KSh billions)
2010,July,61.7728,Mobile money transaction value (KSh billions)
2010,August,61.531,Mobile money transaction value (KSh billions)
2010,September,68.5062,Mobile money transaction value (KSh billions)
2010,October,71.7947,Mobile money transaction value (KSh billions)
2010,November,70.2727,Mobile money transaction value (KSh billions)
2010,December,75.8654,Mobile money transaction value (KSh billions)
2011,January,75.4328,Mobile money transaction value (KSh billions)
2011,February,76.3366,Mobile money transaction value (KSh billions)
2011,March,88.9966,Mobile money transaction value (KSh billions)
2011,April,86.0877,Mobile money transaction value (KSh billions)
2011,May,94.3724,Mobile money transaction value (KSh billions)
2011,June,92.6437,Mobile money transaction value (KSh billions)
2011,July,99.7104,Mobile money transaction value (KSh billions)
2011,August,107.424,Mobile money transaction value (KSh billions)
2011,September,108.615,Mobile money transaction value (KSh billions)
2011,October,109.119,Mobile money transaction value (KSh billions)
2011,November,112.332,Mobile money transaction value (KSh billions)
2011,December,118.08,Mobile money transaction value (KSh billions)
2012,January,114.06,Mobile money transaction value (KSh billions)
2012,February,116.691,Mobile money transaction value (KSh billions)
2012,March,126.093,Mobile money transaction value (KSh billions)
2012,April,117.36,Mobile money transaction value (KSh billions)
2012,May,128.403,Mobile money transaction value (KSh billions)
2012,June,124.02,Mobile money transaction value (KSh billions)
2012,July,129.28,Mobile money transaction value (KSh billions)
2012,August,131.38,Mobile money transaction value (KSh billions)
2012,September,130.69,Mobile money transaction value (KSh billions)
2012,October,137.68,Mobile money transaction value (KSh billions)
2012,November,138.99,Mobile money transaction value (KSh billions)
2012,December,150.16,Mobile money transaction value (KSh billions)
2013,January,142.653,Mobile money transaction value (KSh billions)
2013,February,141.126,Mobile money transaction value (KSh billions)
2013,March,134.446,Mobile money transaction value (KSh billions)
2013,April,142.609,Mobile money transaction value (KSh billions)
2013,May,158.77,Mobile money transaction value (KSh billions)
2013,June,152.5,Mobile money transaction value (KSh billions)
2013,July,162.76,Mobile money transaction value (KSh billions)
2013,August,168.1,Mobile money transaction value (KSh billions)
2013,September,165.59,Mobile money transaction value (KSh billions)
2013,October,175.29,Mobile money transaction value (KSh billions)
2013,November,175.22,Mobile money transaction value (KSh billions)
2013,December,182.495,Mobile money transaction value (KSh billions)
2014,January,178.478,Mobile money transaction value (KSh billions)
2014,February,172.797,Mobile money transaction value (KSh billions)
2014,March,192.695,Mobile money transaction value (KSh billions)
2014,April,186.664,Mobile money transaction value (KSh billions)
2014,May,198.131,Mobile money transaction value (KSh billions)
2014,June,189.911,Mobile money transaction value (KSh billions)
2014,July,200.992,Mobile money transaction value (KSh billions)
2014,August,206.72,Mobile money transaction value (KSh billions)
2014,September,206.341,Mobile money transaction value (KSh billions)
2014,October,210.277,Mobile money transaction value (KSh billions)
2014,November,203.239,Mobile money transaction value (KSh billions)
2014,December,225.549,Mobile money transaction value (KSh billions)
2015,January,210.54,Mobile money transaction value (KSh billions)
2015,February,208.132,Mobile money transaction value (KSh billions)
2015,March,231.836,Mobile money transaction value (KSh billions)
2015,April,213.746,Mobile money transaction value (KSh billions)
2015,May,230.152,Mobile money transaction value (KSh billions)
2015,June,227.921,Mobile money transaction value (KSh billions)
2015,July,238.864,Mobile money transaction value (KSh billions)
2015,August,248.154,Mobile money transaction value (KSh billions)
2015,September,247.506,Mobile money transaction value (KSh billions)
2015,October,255.808,Mobile money transaction value (KSh billions)
2015,November,236.372,Mobile money transaction value (KSh billions)
2015,December,267.068,Mobile money transaction value (KSh billions)
2016,January,242.372,Mobile money transaction value (KSh billions)
2016,February,257.185,Mobile money transaction value (KSh billions)
2016,March,273.585,Mobile money transaction value (KSh billions)
2016,April,269.82,Mobile money transaction value (KSh billions)
2016,May,277.94,Mobile money transaction value (KSh billions)
2016,June,270.973,Mobile money transaction value (KSh billions)
2016,July,281.854,Mobile money transaction value (KSh billions)
2016,August,297.229,Mobile money transaction value (KSh billions)
2016,September,284.055,Mobile money transaction value (KSh billions)
2016,October,292.092,Mobile money transaction value (KSh billions)
2016,November,291.227,Mobile money transaction value (KSh billions)
2016,December,316.773,Mobile money transaction value (KSh billions)
2017,January,299.486,Mobile money transaction value (KSh billions)
2017,February,279.386,Mobile money transaction value (KSh billions)
2017,March,320.18,Mobile money transaction value (KSh billions)
2017,April,297.437,Mobile money transaction value (KSh billions)
2017,May,315.448,Mobile money transaction value (KSh billions)
2017,June,299.789,Mobile money transaction value (KSh billions)
2017,July,308.893,Mobile money transaction value (KSh billions)
2017,August,286.341,Mobile money transaction value (KSh billions)
2017,September,300.917,Mobile money transaction value (KSh billions)
2017,October,299.018,Mobile money transaction value (KSh billions)
2017,November,298.957,Mobile money transaction value (KSh billions)
2017,December,332.622,Mobile money transaction value (KSh billions)
2018,January,322.984,Mobile money transaction value (KSh billions)
2018,February,300.852,Mobile money transaction value (KSh billions)
2018,March,337.11,Mobile money transaction value (KSh billions)
2018,April,312.999,Mobile money transaction value (KSh billions)
2018,May,328.97,Mobile money transaction value (KSh billions)
2018,June,317.671,Mobile money transaction value (KSh billions)
2018,July,332.352,Mobile money transaction value (KSh billions)
2018,August,348.912,Mobile money transaction value (KSh billions)
2018,September,327.663,Mobile money transaction value (KSh billions)
2018,October,343.225,Mobile money transaction value (KSh billions)
2018,November,343.866,Mobile money transaction value (KSh billions)
2018,December,367.766,Mobile money transaction value (KSh billions)
2019,January,368.017,Mobile money transaction value (KSh billions)
2019,February,328.15,Mobile money transaction value (KSh billions)
2019,March,368.39,Mobile money transaction value (KSh billions)
2019,April,360.216,Mobile money transaction value (KSh billions)
2019,May,364.254,Mobile money transaction value (KSh billions)
2019,June,346.847,Mobile money transaction value (KSh billions)
2019,July,366.386,Mobile money transaction value (KSh billions)
2019,August,368.504,Mobile money transaction value (KSh billions)
2019,September,365.908,Mobile money transaction value (KSh billions)
2019,October,366.901,Mobile money transaction value (KSh billions)
2019,November,359.261,Mobile money transaction value (KSh billions)
2019,December,382.93,Mobile money transaction value (KSh billions)
2020,January,371.9,Mobile money transaction value (KSh billions)
2020,February,350.481,Mobile money transaction value (KSh billions)
2020,March,364.511,Mobile money transaction value (KSh billions)
2020,April,307.991,Mobile money transaction value (KSh billions)
2020,May,357.37,Mobile money transaction value (KSh billions)
2020,June,392.172,Mobile money transaction value (KSh billions)
2020,July,450.981,Mobile money transaction value (KSh billions)
2020,August,473.522,Mobile money transaction value (KSh billions)
2020,September,483.215,Mobile money transaction value (KSh billions)
2020,October,528.904,Mobile money transaction value (KSh billions)
2020,November,526.806,Mobile money transaction value (KSh billions)
2020,December,605.69,Mobile money transaction value (KSh billions)
2021,January,590.36,Mobile money transaction value (KSh billions)
2021,February,567.99,Mobile money transaction value (KSh billions)
2021,March,537.75,Mobile money transaction value (KSh billions)
2021,April,502.22,Mobile money transaction value (KSh billions)
2021,May,536.69,Mobile money transaction value (KSh billions)
2021,June,532.63,Mobile money transaction value (KSh billions)
2021,July,587.98,Mobile money transaction value (KSh billions)
