year,value,indicator
1961,-7.77463490371655,GDP growth
1962,9.45735874072126,GDP growth
1963,8.77834021621184,GDP growth
1964,4.96446728844091,GDP growth
1965,2.00909417103099,GDP growth
1966,14.7285664015687,GDP growth
1967,3.36123203258556,GDP growth
1968,7.9826899693479,GDP growth
1969,7.9592244594956,GDP growth
1970,-4.65544691647621,GDP growth
1971,22.1738919255764,GDP growth
1972,17.082429349983,GDP growth
1973,5.89658021016672,GDP growth
1974,4.06561734893735,GDP growth
1975,0.882203175319148,GDP growth
1976,2.15396450322561,GDP growth
1977,9.45379784408087,GDP growth
1978,6.91249354626197,GDP growth
1979,7.61522604591983,GDP growth
1980,5.5919762059677,GDP growth
1981,3.77354419402822,GDP growth
1982,1.50647825757706,GDP growth
1983,1.3090502411486,GDP growth
1984,1.75521697703473,GDP growth
1985,4.30056181879613,GDP growth
1986,7.17755539065963,GDP growth
1987,5.93710744420895,GDP growth
1988,6.20318382314591,GDP growth
1989,4.69034876792047,GDP growth
1990,4.19205097155167,GDP growth
1991,1.43834679171559,GDP growth
1992,-0.799493958641349,GDP growth
1993,0.353197256227247,GDP growth
1994,2.632784517837,GDP growth
1995,4.40621652482287,GDP growth
1996,4.14683926876013,GDP growth
1997,0.474901921293579,GDP growth
1998,3.29021372249065,GDP growth
1999,2.30538859522412,GDP growth
2000,0.599695390807426,GDP growth
2001,3.77990649795343,GDP growth
2002,0.546859530175595,GDP growth
2003,2.93247554570904,GDP growth
2004,5.10429977629738,GDP growth
2005,5.90666607980057,GDP growth
2006,6.47249430015484,GDP growth
2007,6.85072976998784,GDP growth
2008,0.232282744812977,GDP growth
2009,3.30693981631089,GDP growth
2010,8.05847360290906,GDP growth
2011,5.1211061197056,GDP growth
2012,4.56867961444982,GDP growth
2013,3.7978483925754,GDP growth
2014,5.02011100232484,GDP growth
2015,4.96772112759767,GDP growth
2016,4.21351706814744,GDP growth
2017,3.83795817364721,GDP growth
2018,5.64794640709219,GDP growth
2019,5.11415885767801,GDP growth
2020,-0.272766327438816,GDP growth
2021,7.59048947333467,GDP growth
2022,4.85998104287999,GDP growth
2023,5.71999241214208,GDP growth
2024,4.72473994710138,GDP growth
1960,1.24378109452731,Inflation
1961,2.45700245700254,Inflation
1962,3.11750599520378,Inflation
1963,0.697674418604589,Inflation
1964,-0.0993048669314341,Inflation
1965,3.57852882806742,Inflation
1966,5.01439539323414,Inflation
1967,1.75919579598299,Inflation
1968,0.366711570051019,Inflation
1969,-0.17150100656233,Inflation
1970,2.18852703907439,Inflation
1971,3.78020612544907,Inflation
1972,5.83164474311005,Inflation
1973,9.28119422332106,Inflation
1974,17.8099480331818,Inflation
1975,19.1201840136051,Inflation
1976,11.4490304932756,Inflation
1977,14.8209644818935,Inflation
1978,16.9317824582842,Inflation
1979,7.97935261848786,Inflation
1980,13.8581814562484,Inflation
1981,11.6030534351142,Inflation
1982,20.6667146662827,Inflation
1983,11.3977827368523,Inflation
1984,10.284098213138,Inflation
1985,13.0065664218827,Inflation
1986,2.53427598892888,Inflation
1987,8.63767318980084,Inflation
1988,12.2649630481582,Inflation
1989,13.7893172763883,Inflation
1990,17.78181442992,Inflation
1991,20.0844955754632,Inflation
1992,27.3323644475784,Inflation
1993,45.9788813036218,Inflation
1994,28.8143894306731,Inflation
1995,1.55432816055009,Inflation
1996,8.86408741577522,Inflation
1997,11.3618450505783,Inflation
1998,6.72243650753928,Inflation
1999,5.74200109520484,Inflation
2000,9.98002515350979,Inflation
2001,5.73859814341467,Inflation
2002,1.96130821739162,Inflation
2003,9.81569062979654,Inflation
2004,11.6240355442426,Inflation
2005,10.3127783574683,Inflation
2006,14.4537342081708,Inflation
2007,9.75888023027529,Inflation
2008,26.2398166445063,Inflation
2009,9.23412592394652,Inflation
2010,3.96138889115385,Inflation
2011,14.0224913014704,Inflation
2012,9.37777003547598,Inflation
2013,5.71749357037733,Inflation
2014,6.87815499275949,Inflation
2015,6.58215429284779,Inflation
2016,6.29724953814625,Inflation
2017,8.00564967709945,Inflation
2018,4.6898064677633,Inflation
2019,5.23963795764792,Inflation
2020,5.40516207933392,Inflation
2021,6.10793603659176,Inflation
2022,7.65986268272224,Inflation
2023,7.67139634029402,Inflation
2024,4.48978854243448,Inflation
1991,2.78,Unemployment
1992,2.894,Unemployment
1993,2.979,Unemployment
1994,2.955,Unemployment
1995,2.848,Unemployment
1996,2.773,Unemployment
1997,2.818,Unemployment
1998,2.843,Unemployment
1999,2.884,Unemployment
2000,2.884,Unemployment
2001,2.876,Unemployment
2002,2.916,Unemployment
2003,2.869,Unemployment
2004,2.844,Unemployment
2005,2.739,Unemployment
2006,2.673,Unemployment
2007,2.642,Unemployment
2008,2.751,Unemployment
2009,2.816,Unemployment
2010,2.793,Unemployment
2011,2.699,Unemployment
2012,2.678,Unemployment
2013,2.762,Unemployment
2014,2.767,Unemployment
2015,2.762,Unemployment
2016,2.757,Unemployment
2017,3.542,Unemployment
2018,4.284,Unemployment
2019,5.014,Unemployment
2020,5.613,Unemployment
2021,5.693,Unemployment
2022,5.565,Unemployment
2023,5.409,Unemployment
2024,5.487,Unemployment
2025,5.449,Unemployment
